Fees,School,County,Sat2015,Uni2015,Progression,UCD,TCD,DCU,UL,Maynooth,NUIG,UCC,St Angelas,QUB,UU,Blanch.IT,NatColIrl,Dublin.IT,Tallaght.IT,Athlone.IT,Cork.IT,Dundalk.IT,GM.IT,IADT,Carlow.IT,Sligo.IT,Tralee.IT,Letterkenny.IT,Limerick.IT,W.IT,Marino,CoICollEd,MaryI,NCAD,RCSI,SCHM
No,"St John Bosco Community College, Kildysart, Ennis, Co. Clare",Clare,33,30,0.909090909,0,1,0,8,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0,0,3,0,0,0
No,"Mary Immaculate Secondary School, Liosduin Bhearna, Inis, Co An Chlair",Clare,41,37,0.902439024,1,0,0,8,2,5,1,0,0,0,0,0,2,0,0,2,0,7,2,1,0,0,0,4,0,1,0,1,0,0,0
No,"Coláiste Muire, College Rd, Ennis, Co. Clare",Clare,107,96,0.897196262,8,8,1,16,0,14,10,1,0,0,1,0,0,0,1,2,0,8,0,0,2,6,0,10,1,0,0,7,0,0,0
No,"Coláiste Fhlannain, Inis, Co An Chlair",Clare,254,217,0.854330709,5,7,2,64,0,28,19,0,0,0,0,0,1,0,2,4,0,23,0,1,1,5,0,38,0,0,0,15,0,0,2
No,"Kilrush Community School, Kilrush, Co Clare",Clare,73,61,0.835616438,1,0,0,11,0,10,4,0,0,0,0,0,0,0,1,1,0,7,0,0,0,7,0,13,0,0,0,6,0,0,0
No,"St Caimin's Community School, Tullyvarraga, Shannon, Co. Clare",Clare,133,109,0.819548872,5,1,0,25,0,6,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,46,3,0,0,13,0,0,0
No,"Scoil Ioseph, An Tulach, Inis, Co An Chlair",Clare,72,57,0.791666667,1,0,0,15,0,9,6,0,0,0,0,0,0,0,1,1,0,6,0,0,1,0,0,9,2,0,0,5,1,0,0
No,"Ennistymon Vocational School, Ennistymon, Co. Clare",Clare,23,18,0.782608696,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,1,0,6,0,0,0,0,0,0,1
No,"Kilkee Community School, Carrigaholt Road, Kilkee, Co Clare",Clare,46,33,0.717391304,0,0,2,5,0,4,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,11,0,0,0,2,0,0,0
No,"Scariff Community College, Scariff, Co. Clare",Clare,58,41,0.706896552,2,1,0,6,2,10,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,8,0,0,0,4,0,0,0
No,"St Patrick's Comprehensive Sch, Shannon, Co Clare",Clare,102,64,0.62745098,2,0,0,16,1,7,3,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,27,0,1,0,1,1,0,1
Yes,"Christian Brothers College, Sidney Hill,, Wellington Road, Cork",Cork,119,130,1.092436975,2,5,1,1,0,2,91,0,0,0,0,0,0,0,0,23,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0
Yes,"Presentation College, Mardyke, Cork City",Cork,105,114,1.085714286,1,5,0,2,0,2,86,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
No,"Ursuline Secondary  School, Blackrock, Cork",Cork,20,20,1,0,0,1,0,0,0,13,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
