Fees,School,County,Sat2015,Uni2015,Progression,UCD,TCD,DCU,UL,Maynooth,NUIG,UCC,St Angelas,QUB,UU,Blanch.IT,NatColIrl,Dublin.IT,Tallaght.IT,Athlone.IT,Cork.IT,Dundalk.IT,GM.IT,IADT,Carlow.IT,Sligo.IT,Tralee.IT,Letterkenny.IT,Limerick.IT,W.IT,Marino,CoICollEd,MaryI,NCAD,RCSI,SCHM
No,"Nagle Community College, Avenue De Rennes, Mahon, Cork",Cork,31,9,0.290322581,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Magh Éne College, Church Road, Bundoran, Co. Donegal",Donegal,42,51,1.214285714,1,1,2,0,2,13,0,1,0,1,0,0,1,0,0,0,0,3,1,1,8,0,15,1,0,0,0,0,0,0,0
No,"Pobalscoil Ghaoth Dobhair, Doirí Beaga, Leitir Ceanainn, Tír Chonaill",Donegal,36,42,1.166666667,7,2,6,0,0,7,1,0,0,1,0,0,3,0,0,2,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0
No,"Coláiste Ailigh, Cnoc Na Móna, Leitir Ceanainn, Co Dhún Na Ngall",Donegal,23,23,1,4,1,7,0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
No,"St. Catherine's Vocational Sch, Donegal Road, Killybegs, Co. Donegal",Donegal,56,53,0.946428571,2,2,7,0,2,9,0,0,1,0,0,0,1,0,0,0,0,2,2,0,10,0,13,0,0,0,0,0,2,0,0
No,"St Eunan's College, Letterkenny, Co Donegal",Donegal,160,150,0.9375,13,1,16,2,14,11,0,0,0,0,0,0,9,0,0,0,0,7,1,0,11,0,63,0,0,1,0,0,0,1,0
No,"St Columba's Comprehensive Sch, Glenties, Donegal",Donegal,71,63,0.887323944,1,1,1,1,6,5,0,1,3,0,0,0,1,1,0,0,1,5,0,0,5,0,25,2,0,4,0,0,0,0,0
No,"Coláiste na Carraige, An Charraig, Dun Na Ngall",Donegal,53,47,0.886792453,4,1,5,2,0,4,0,2,0,0,0,0,1,0,0,0,4,2,0,0,13,0,6,1,1,1,0,0,0,0,0
No,"Loreto Community School, Milford, Co Donegal",Donegal,116,101,0.870689655,9,1,6,0,9,10,0,0,0,2,0,0,1,0,0,0,0,2,0,0,7,0,51,1,0,1,1,0,0,0,0
No,"Scoil Phobail, Chloigh Cheannfhaola, Falcarragh, Letterkenny",Donegal,85,72,0.847058824,5,0,6,2,3,13,0,2,1,2,0,0,6,0,0,1,0,3,1,0,3,0,23,1,0,0,0,0,0,0,0
No,"The Rosses Community School, Dungloe, Donegal, Co Donegal",Donegal,93,78,0.838709677,4,1,10,1,3,13,0,1,1,0,0,0,5,0,0,0,0,5,0,0,10,0,24,0,0,0,0,0,0,0,0
No,"Ghairmscoil Chu Uladh, Beal An Atha Mhoir, An Clochan, Leifear",Donegal,48,40,0.833333333,1,0,1,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,19,0,0,3,0,0,0,0,0
No,"Coláiste Cholmcille, Ballyshannon, Co Donegal",Donegal,99,82,0.828282828,3,1,5,1,5,11,0,0,0,0,0,0,0,0,0,2,1,8,1,0,21,2,17,2,1,0,0,0,1,0,0
No,"Carndonagh Community School, Carndonagh, Co. Donegal",Donegal,127,105,0.826771654,13,1,8,0,16,12,1,1,0,1,0,0,0,0,1,0,0,9,0,3,13,0,26,0,0,0,0,0,0,0,0
No,"Clochar Loreto, Leitirceanainn, Co Dhun Na Ngall",Donegal,165,134,0.812121212,9,5,14,1,11,11,1,0,7,5,0,0,5,0,0,0,1,3,1,0,10,0,46,0,0,4,0,0,0,0,0
No,"Scoil Mhuire, St Orans Road, Buncrana, Co. Donegal",Donegal,84,67,0.797619048,9,1,5,1,3,11,1,0,1,1,0,0,0,0,0,0,0,3,0,1,6,0,23,0,1,0,0,0,0,0,0
No,"Abbey Vocational School, Donegal Town, Co. Donegal",Donegal,128,100,0.78125,5,1,13,3,3,11,0,1,1,1,0,1,4,0,0,0,0,2,2,0,33,2,15,0,0,0,0,2,0,0,0
No,"Royal and Prior, Comprehensive School, Raphoe, Lifford",Donegal,72,53,0.736111111,4,2,3,2,1,6,1,0,2,1,0,0,0,0,1,0,1,2,1,1,2,0,22,0,0,0,1,0,0,0,0
No,"St Columbas College, Stranorlar, Lifford, Co Donegal",Donegal,168,121,0.720238095,6,4,15,0,3,18,1,0,0,1,0,0,2,0,0,0,1,1,0,0,7,1,56,0,0,5,0,0,0,0,0
No,"Moville Community College, Carrownaff, Moville, Co Donegal",Donegal,71,50,0.704225352,2,1,3,0,2,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13,0,19,0,1,0,0,0,0,0,0
No,"Mulroy College, Milford, Letterkenny, Co Donegal",Donegal,61,42,0.68852459,1,1,2,0,0,3,0,0,1,0,0,0,1,0,0,0,0,3,0,0,5,0,23,1,0,0,1,0,0,0,0
No,"Finn Valley College, Drumboe Lower, Stranorlar, Co Donegal",Donegal,44,29,0.659090909,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,19,0,0,0,0,0,0,0,0
No,"Crana College, Buncrana, Co. Donegal",Donegal,81,49,0.604938272,3,2,1,0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,31,0,0,0,0,0,0,0,0
No,"Deele College, Rath Bhoth, Leifear, Co Dhun Na Ngall",Donegal,82,48,0.585365854,0,0,0,1,1,13,0,1,1,1,0,0,0,0,0,0,0,1,0,0,3,0,26,0,0,0,0,0,0,0,0
No,"Errigal College, Windyhall, Letterkenny, Co. Donegal",Donegal,52,26,0.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0
No,"Coláiste Eoin, Bóthar Stigh Lorgan, Baile An Bhóthair, An Charaig Dhubh",Dublin County,85,112,1.317647059,52,17,6,0,3,0,0,0,0,0,1,0,19,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,1
Yes,"Christian Brothers College, Monkstown Park, Dun Laoghaire, Co Dublin",Dublin County,79,87,1.101265823,39,11,2,1,2,2,0,0,0,0,0,1,16,0,0,0,0,0,8,0,0,2,0,1,0,1,0,0,0,1,0
Yes,"Loreto Abbey, Dalkey, Co Dublin",Dublin County,103,111,1.077669903,39,24,4,0,3,2,1,0,0,0,0,0,17,4,1,0,1,0,9,0,0,0,1,1,0,2,0,0,0,1,1
No,"Clonkeen College, Clonkeen Road, Blackrock, Co. Dublin",Dublin County,81,87,1.074074074,18,4,2,0,4,0,0,0,0,0,2,2,32,4,0,1,1,0,14,0,0,0,0,0,2,0,0,0,1,0,0
Yes,"Holy Child School, Military Road, Killiney, Co. Dublin",Dublin County,59,60,1.016949153,24,10,1,0,0,2,0,0,0,0,0,0,15,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
No,"Coláiste Iosagain, Br Stigh Lorgan, Baile An Bhothair, An Charraig Dhubh",Dublin County,78,79,1.012820513,37,20,3,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,1,0
Yes,"Blackrock College, Blackrock, Co Dublin",Dublin County,197,196,0.994923858,85,39,7,3,3,7,0,0,0,0,0,1,37,2,0,1,0,1,5,0,0,0,0,0,0,0,0,0,2,3,0
Yes,"St Andrew's College, Booterstown Ave, Blackrock, Co Dublin",Dublin County,161,156,0.968944099,54,47,5,1,0,3,2,1,0,0,0,2,26,0,0,1,3,0,5,1,0,0,0,0,0,0,2,0,2,1,0
No,"Portmarnock Community School, Carrickhill Road, Portmarnock, Co. Dublin",Dublin County,139,133,0.956834532,9,17,20,2,4,1,1,0,0,0,11,16,37,3,0,0,4,1,0,1,0,0,0,1,1,1,0,0,2,1,0
No,"Newpark School, Newtownpark Avenue, Blackrock, Co Dublin",Dublin County,117,110,0.94017094,24,8,4,1,9,0,3,0,0,0,3,0,23,4,2,0,0,0,21,1,0,0,0,0,1,0,1,0,5,0,0
No,"Coláiste Cois Life, Gleann an Ghrifin, Leamhcan, Co. Atha Cliath",Dublin County,65,61,0.938461538,4,11,5,1,20,1,0,0,0,0,4,0,7,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,1,1,0
No,"Pobail Scoil Íosa, Malahide, Co Dublin",Dublin County,195,183,0.938461538,28,32,38,3,4,0,0,0,0,0,5,11,43,2,0,0,2,2,2,1,0,0,0,3,0,4,0,0,3,0,0
No,"Lucan Community College, Esker Drive, Lucan, Co Dublin",Dublin County,123,113,0.918699187,14,9,6,1,39,0,1,0,0,0,10,5,17,5,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0
No,"Skerries Community College, Skerries, Co Dublin",Dublin County,156,138,0.884615385,9,20,42,0,2,1,0,0,0,0,1,10,23,2,0,0,13,1,5,1,0,0,0,1,1,1,0,0,4,1,0
No,"St. Joseph's College, Lucan, Co. Dublin",Dublin County,141,123,0.872340426,13,12,8,0,35,3,0,0,0,0,5,4,20,10,1,0,2,0,1,0,0,0,0,1,2,0,0,0,5,1,0
Yes,"St Joseph of Cluny Sec. School, Bellevue Park, Ballinclea Rd, Dun Laoghaire",Dublin County,61,53,0.868852459,21,7,2,0,1,2,0,0,0,0,0,2,14,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
No,"Loreto Secondary School, Balbriggan, Co Dublin,",Dublin County,193,167,0.865284974,10,19,37,1,12,2,0,0,0,0,3,9,28,2,0,0,20,1,3,2,0,0,1,1,1,4,0,0,10,1,0
No,"Oatlands College, Mount Merrion, An Charraig Dhubh, Co Bhaile Atha Cliath",Dublin County,88,76,0.863636364,31,7,2,0,2,0,0,0,0,0,0,1,20,3,1,0,0,0,6,1,0,0,1,0,0,0,0,0,1,0,0
No,"Balbriggan Community College, Pine Ridge, Chapel St., Balbriggan",Dublin County,59,50,0.847457627,1,1,5,0,3,0,0,0,0,0,1,6,5,0,0,0,19,0,1,3,2,0,1,0,2,0,0,0,0,0,0
No,"St. Benildus College, Upper Kilmacud Road, Stillorgan, Blackrock",Dublin County,112,94,0.839285714,23,6,2,1,2,1,0,0,0,0,0,4,31,12,0,0,1,0,6,3,0,0,0,0,0,0,0,0,1,1,0
No,"St Raphaela's Sec School, St. Raphaela's Road, Stillorgan, Blackrock",Dublin County,67,55,0.820895522,13,3,7,0,2,0,1,0,0,0,1,3,11,7,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0
No,"Loreto College, Swords, Co Dublin",Dublin County,114,90,0.789473684,4,8,18,0,7,1,0,0,0,0,10,6,18,0,1,0,10,0,2,0,0,0,0,1,0,2,0,0,2,0,0
Yes,"Rathdown School, Glenageary, Co Dublin",Dublin County,46,36,0.782608696,12,12,2,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
No,"St Joseph's Secondary School, Rush, Co Dublin",Dublin County,86,65,0.755813953,1,10,7,0,3,0,0,0,0,0,1,15,10,3,1,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0
No,"Presentation Convent, Rockford Manor, An Charraig Dhubh, Co Bhaile Atha Cliath",Dublin County,32,24,0.75,6,4,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,0
No,"Dominican College, Cross Avenue,, Blackrock, Co. Dublin",Dublin County,56,41,0.732142857,11,6,5,0,0,1,0,0,0,0,0,4,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
No,"Coláiste Choilm, Dublin Road, Swords, Co. Dublin",Dublin County,100,73,0.73,5,3,16,1,1,0,0,0,0,0,9,10,19,1,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0
No,"Coláiste Padraig CBS, RoselBGn, Lucan, Co. Dublin",Dublin County,116,78,0.672413793,9,4,5,1,14,0,1,0,0,0,5,6,20,8,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0
No,"Donabate Community College, Portrane Road, Donabate, Co Dublin",Dublin County,106,60,0.566037736,4,8,16,1,4,1,1,0,0,0,4,5,7,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0
No,"Fingal Community College, Seatown Road, Swords, Co. Dublin",Dublin County,82,42,0.512195122,1,1,4,1,2,0,0,0,0,0,15,6,8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,"St Finians Community College, Castlefarm, Jugback Lane, Swords",Dublin County,92,46,0.5,2,4,13,0,0,0,1,0,0,0,7,5,5,1,0,0,4,0,0,1,0,0,1,0,0,1,0,0,1,0,0
No,"Rathcoole Community School, Crockshane, Kilteel Road, Rathcoole",Dublin County,138,65,0.471014493,5,3,2,2,13,0,0,0,0,0,3,2,9,18,0,1,0,2,0,1,1,0,0,0,2,0,1,0,0,0,0
No,"Adamstown Community College, Station Road, Adamstown, Lucan",Dublin County,95,37,0.389473684,4,6,0,0,7,0,0,0,0,0,7,2,3,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
No,"Holy Child Community School, Pearse St., Sallynoggin, Co Dublin",Dublin County,32,11,0.34375,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
No,"Ardgillan Community College, Castlelands, Balbriggan, Co Dublin",Dublin County,83,27,0.325301205,3,5,0,0,0,0,0,0,0,0,5,3,4,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,1,0
Yes,"Belvedere College, Great Denmark Street, Dublin 1",Dublin 1,165,168,1.018181818,22,41,43,0,12,0,1,0,0,1,0,5,29,2,0,0,0,1,3,0,0,0,0,0,1,0,0,0,4,3,0
No,"Meánscoil Uí Chonaill, Sraid Risteaman Thuaidh, Baile Atha Cliath 1",Dublin 1,84,49,0.583333333,4,4,10,0,10,2,0,0,0,0,4,2,6,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,1,0,0
No,"Mount Carmel Sec School, Kings Inn St, Dublin 1",Dublin 1,46,24,0.52173913,2,2,3,0,0,0,0,0,0,0,4,4,3,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
No,"Larkin Community College, Champion's  Avenue, Cathal Brugha St., Dublin 1",Dublin 1,55,26,0.472727273,3,2,1,0,1,0,1,0,0,0,3,2,6,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0
Yes,"Loreto College St. Stephen's Green, 53 St. Stephens Green, Dublin 2",Dublin 2,96,104,1.083333333,39,22,19,1,5,0,0,0,0,0,0,2,9,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,2,0
Yes,"Catholic University School, 89 Lower Leeson Street, Dublin 2",Dublin 2,65,68,1.046153846,11,21,12,0,1,3,0,0,0,0,2,3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Christian Brothers Westland Row, Westland Row, Dublin 2",Dublin 2,13,4,0.307692308,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Holy Faith Secondary School, 1 Belgrove Road, Clontarf, Dublin 3",Dublin 3,103,103,1,13,28,26,1,1,3,0,0,0,0,3,2,17,0,0,0,1,0,3,1,0,1,0,0,0,2,0,0,1,0,0
No,"Mount Temple, Comprehensive School, Malahide Road, Dublin 3",Dublin 3,139,119,0.856115108,14,18,26,0,7,0,0,0,0,0,9,5,21,1,0,0,2,1,7,1,1,0,0,0,1,1,1,0,3,0,0
No,"Marino College,  14/20 Marino Mart, Fairview, Dublin 3",Dublin 3,25,16,0.64,1,0,5,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
No,"Scoil Ioseph Naofa, Fionnradharc, Baile Atha Cliath 3",Dublin 3,47,28,0.595744681,1,2,7,0,0,0,0,0,0,0,4,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Muckross College, Marlborough Road, Donnybrook",Dublin 4,111,125,1.126126126,33,32,5,1,3,4,1,0,0,0,2,2,26,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,2,0
Yes,"St. Michael's College, Ailesbury Road, Dublin 4",Dublin 4,92,103,1.119565217,49,19,1,0,0,2,0,0,0,0,0,0,23,1,0,1,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0
Yes,"The Teresian School, 12 Stillorgan Road, Dublin 4",Dublin 4,21,23,1.095238095,15,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"John Scottus Secondary School, 72-76 Morehampton Road, Donnybrook, Dublin 4",Dublin 4,17,17,1,3,2,1,0,1,0,0,0,0,0,0,1,2,0,0,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0
Yes,"St Conleth's College, Clyde Road, Dublin 4",Dublin 4,44,43,0.977272727,15,13,0,0,0,0,1,0,0,0,0,0,6,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0
No,"Marian College, Ballsbridge, Dublin 4",Dublin 4,81,31,0.382716049,5,2,2,0,6,0,0,0,0,0,1,0,7,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0
No,"Ringsend College, Cambridge Road, Ringsend, Dublin 4",Dublin 4,23,6,0.260869565,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
No,"Manor House School, Watermill Road, Raheny, Dublin 5",Dublin 5,106,77,0.726415094,5,13,27,2,5,0,0,0,0,0,4,2,13,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,1,0
No,"Chanel College, Coolock Village, Malahide Road, Dublin 5",Dublin 5,85,57,0.670588235,3,0,12,0,1,0,0,0,0,0,13,12,10,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
No,"St Paul's College, Sybil Hill, Raheny, Dublin 5",Dublin 5,76,48,0.631578947,4,12,13,0,2,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
No,"St. David's Secondary School, Artane, Dublin 5",Dublin 5,65,34,0.523076923,2,4,8,0,1,0,0,0,0,0,3,7,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
No,"Mercy College, St. Brendan's Drive, Coolock, Dublin 5",Dublin 5,58,28,0.482758621,1,1,7,0,3,0,0,0,0,0,7,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
No,"St Mary's Holy Faith Secondary School, Holy Faith Convent, Brookwood Meadow, Killester",Dublin 5,86,36,0.418604651,6,3,7,0,3,0,0,0,0,0,4,1,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No,"Ardscoil La Salle, Raheny Road, Raheny, Dublin 5",Dublin 5,54,22,0.407407407,0,1,7,1,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Gonzaga College, Sandford Road, Dublin 6",Dublin 6,92,103,1.119565217,56,25,1,1,0,4,1,0,0,0,0,0,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Yes,"The High School, Zion Rd, Rathgar, Dublin 6",Dublin 6,115,126,1.095652174,26,37,3,0,5,2,0,0,0,0,0,2,26,5,1,0,1,0,9,0,1,2,0,0,1,0,2,0,3,0,0
Yes,"St Mary's College, Rathmines, Dublin 6",Dublin 6,59,64,1.084745763,20,8,2,0,1,5,0,0,0,0,2,2,21,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Alexandra College, Milltown, Dublin 6",Dublin 6,75,73,0.973333333,37,17,2,1,0,2,2,0,0,0,0,0,5,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0
Yes,"Sandford Park School, Sandford Road, Ranelagh, Dublin 6",Dublin 6,40,35,0.875,17,5,2,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
Yes,"Stratford College, 1 Zion Rd, Rathgar, Dublin 6",Dublin 6,16,13,0.8125,1,4,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
No,"St Louis High School, Rathmines, Dublin 6",Dublin 6,130,98,0.753846154,21,19,2,0,6,1,1,1,0,0,3,6,27,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0
No,"Rathmines College, Town Hall, Rathmines Road, Dublin 6",Dublin 6,127,70,0.551181102,15,12,8,1,20,1,2,0,0,0,5,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Presentation College, Terenure Park, Terenure, Dublin 6w",Dublin 6W,33,16,0.484848485,3,0,2,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0
Yes,"Terenure College, Templeogue Road, Terenure, Dublin 6w",Dublin 6W,120,129,1.075,32,22,2,0,8,2,0,0,0,0,0,0,44,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
No,"Templeogue College, Templeogue, Dublin 6w",Dublin 6W,108,110,1.018518519,20,9,12,1,4,0,0,0,0,0,2,3,28,27,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0
No,"Our Lady's School, Templeogue Rd, Terenure, Dublin 6w",Dublin 6W,118,105,0.889830508,35,18,10,0,3,0,1,0,0,0,2,3,20,7,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0
No,"St. Macdara's Comm. College, Wellington Lane, Templeogue, Dublin 6w",Dublin 6W,156,124,0.794871795,27,9,11,0,11,1,0,0,0,0,3,0,31,18,0,0,3,0,3,1,0,0,1,0,1,0,0,0,2,2,0
No,"Coláiste Mhuire na mBraithre, Bóthar Ráth Tó, Baile Atha Cliath 7",Dublin 7,25,20,0.8,1,1,3,0,3,0,0,0,0,0,3,1,3,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0
No,"St Dominic's College, Cabra, Dublin 7",Dublin 7,130,95,0.730769231,4,14,18,0,16,0,0,0,0,0,10,3,22,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
No,"Scoil Dheaglain, Scoil Na mBraithre, Bothar Neifin, Baile Atha Cliath 7",Dublin 7,95,65,0.684210526,5,4,11,0,4,0,0,0,0,0,19,1,14,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1,0,1,0
No,"St. Joseph's Secondary School, Stanhope Street, Dublin 7",Dublin 7,44,25,0.568181818,1,3,0,0,1,0,0,0,0,0,8,0,7,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
No,"St.Paul's C.B.S., Nth. Brunswick Street., Dublin 7",Dublin 7,42,14,0.333333333,0,0,1,0,1,0,0,0,0,0,0,1,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Mercy Secondary School, Goldenbridge, Inchicore, Dublin 8",Dublin 8,15,9,0.6,1,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"St Patrick's Cathedral Grammar School, St Patrick's Close, Dublin 8",Dublin 8,23,13,0.565217391,3,2,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Synge Street CBS, Synge Street, Dublin 8",Dublin 8,49,25,0.510204082,0,0,2,0,0,0,0,0,0,0,1,3,15,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
No,"Presentation Secondary School, Warrenmount, Dublin 8",Dublin 8,32,10,0.3125,0,1,1,0,1,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"James's Street CBS, Basin Lane, Dublin 8",Dublin 8,20,6,0.3,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Ard Scoil Ris, Ascal O Griofa, Baile Atha Cliath 9",Dublin 9,93,89,0.956989247,7,11,32,0,3,1,0,0,0,0,0,11,17,0,0,0,1,0,2,1,0,0,0,0,1,1,0,0,1,0,0
No,"Dominican College, 204 Griffith Ave, Dublin 9",Dublin 9,117,111,0.948717949,13,20,35,0,5,0,0,0,0,0,6,5,19,0,1,0,1,0,1,0,0,0,0,1,0,2,0,0,2,0,0
No,"Maryfield College, Glandore Rd, Drumcondra, Dublin 9",Dublin 9,120,99,0.825,2,13,24,1,9,1,0,0,0,0,9,12,18,2,0,0,1,1,0,0,0,0,0,0,1,2,0,0,2,1,0
No,"Scoil Chaitriona, Bothar Mobhi, Glasnaion, Baile Atha Cliath 9",Dublin 9,63,46,0.73015873,3,3,13,0,8,0,0,0,0,0,5,1,5,0,0,0,2,0,2,0,0,0,0,0,0,2,0,1,1,0,0
No,"Scoil Naomh Aodhan, Ascal Ui Choileain, Fionnbhru, Baile Atha Cliath 9",Dublin 9,98,64,0.653061224,5,2,22,0,5,0,0,0,0,0,10,2,15,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
No,"Rosmini Community School, O'Donnell House, All Hallows College, Gracepark Road",Dublin 9,23,14,0.608695652,1,0,2,0,1,0,0,0,0,0,4,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No,"Our Lady of Mercy College, Beaumont, Dublin 9",Dublin 9,65,35,0.538461538,2,3,10,0,2,0,0,0,0,0,6,2,7,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
No,"Plunkett College, Swords Road, Whitehall, Dublin 9",Dublin 9,108,42,0.388888889,2,2,14,0,4,0,0,0,0,0,6,6,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0
No,"Mgt. Aylward Comm. College, Thatch Road, Whitehall, Dublin 9",Dublin 9,23,7,0.304347826,0,0,1,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Trinity Comprehensive School, Main Street, Ballymun, Dublin 9",Dublin 9,58,16,0.275862069,1,1,2,0,1,0,0,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
No,"Caritas College, Drumfin Road, Ballyfermot, Dublin 10",Dublin 10,39,18,0.461538462,1,0,1,0,4,0,0,0,0,0,3,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Kylemore College, Kylemore Road, Ballyfermot, Dublin 10",Dublin 10,20,8,0.4,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
No,"St. Dominic's Secondary School, Kylemore Road, Ballyfermot, Dublin 10",Dublin 10,47,14,0.29787234,1,2,3,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Christian Brothers, St. Kevin's College, Ballygall Road East, Finglas",Dublin 11,58,38,0.655172414,1,0,14,0,2,0,0,0,0,0,7,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"St. Mary's Secondary School, Holy Faith Convent, Glasnevin, Dublin 11",Dublin 11,119,74,0.621848739,4,10,12,0,5,0,0,0,0,0,15,9,12,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0
No,"St. Vincent's CBS, Secondary School, Finglas Road, Glasnevin",Dublin 11,53,28,0.528301887,1,2,8,0,1,0,0,0,0,0,7,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
